store,date,temperature,fuel_price,markdown1,markdown2,markdown3,markdown4,markdown5,cpi,unemployment,dept,weekly_sales,IsHoliday,type,size
14,2012-02-10,37.0,3.64,17118.97,6533.16,285.82,11597.23,6174.43,189.7076048,8.42,17,25664.75,1,0,200898
40,2011-11-04,35.4,3.586,0.0,0.0,0.0,0.0,0.0,136.475129,4.42,82,14353.57,0,0,155083
45,2010-03-05,37.13,2.777,0.0,0.0,0.0,0.0,0.0,182.1201566,8.99,56,1269.24,0,1,118221
13,2012-03-16,52.5,3.529,8901.34,637.7,3.85,6169.81,2446.53,130.8261935,6.1,59,426.88,0,0,219622
25,2010-12-03,32.41,3.046,0.0,0.0,0.0,0.0,0.0,204.8249189,7.48,92,42515.87,0,1,128107
17,2012-08-17,70.98,3.545,1833.19,5.6,0.81,1344.67,1707.05,130.7909677,5.94,44,5463.09,0,1,93188
22,2011-09-16,68.08,3.809,0.0,0.0,0.0,0.0,0.0,140.2735,8.02,74,16986.04,0,1,119557
22,2011-07-01,70.8,3.815,0.0,0.0,0.0,0.0,0.0,139.36375,8.02,7,38268.61,0,1,119557
9,2012-09-14,73.55,3.717,2640.68,0.0,10.75,385.53,4276.03,226.3567545,5.28,18,977.51,0,1,125833
27,2012-01-20,30.35,3.705,2754.17,9280.81,465.77,2567.91,1550.34,140.8086118,8.01,41,1582.25,0,0,204184
26,2011-08-19,60.58,3.82,0.0,0.0,0.0,0.0,0.0,136.183129,7.77,32,3818.04,0,0,152513
41,2012-05-25,54.89,3.804,8215.27,0.0,277.14,1198.25,2444.61,197.5886046,6.55,87,12567.64,0,0,196321
19,2012-10-19,53.44,4.153,2948.25,0.0,17.4,811.41,2017.49,138.8336129,7.99,1,23772.27,0,0,203819
20,2010-06-25,75.17,2.808,0.0,0.0,0.0,0.0,0.0,204.5675459,7.86,28,664.11,0,0,203742
17,2010-07-30,69.96,2.797,0.0,0.0,0.0,0.0,0.0,126.1069032,6.7,48,631.0,0,1,93188
27,2012-06-15,69.52,3.786,9943.48,614.9,15.0,3382.44,6779.57,142.1292548,8.25,32,8856.57,0,0,204184
5,2012-04-06,70.4,3.891,5174.35,0.0,6.48,1489.1,2264.89,222.0225762,5.8,31,726.58,0,1,34875
35,2012-09-21,66.1,4.038,6982.1,87.37,6.0,2085.94,9129.21,142.6798167,8.84,92,32794.43,0,1,103681
10,2012-10-26,70.5,4.301,9657.93,63.3,100.0,1925.87,834.57,131.1930968,6.94,27,4319.35,0,1,126512
33,2012-05-11,81.02,4.186,758.77,0.0,0.0,0.0,2001.77,131.1453333,7.4,11,161.52,0,0,39690
27,2012-04-27,52.33,4.163,6408.19,901.65,58.56,51.97,2182.32,141.9596595,8.25,92,138656.65,0,0,204184
26,2011-04-08,29.09,3.72,0.0,0.0,0.0,0.0,0.0,134.1777742,7.82,95,73015.54,0,0,152513
29,2010-11-26,44.61,3.07,0.0,0.0,0.0,0.0,0.0,132.8369333,10.52,29,7089.75,1,1,93638
3,2010-06-04,78.53,2.705,0.0,0.0,0.0,0.0,0.0,214.4958382,7.34,9,7136.01,0,1,37392
44,2012-08-24,77.37,3.582,73.93,0.0,87.77,89.76,624.58,130.8381613,5.41,67,897.84,0,2,39910
41,2011-09-30,61.77,3.538,0.0,0.0,0.0,0.0,0.0,194.8779718,6.9,31,1351.15,0,0,196321
9,2010-04-02,65.21,2.719,0.0,0.0,0.0,0.0,0.0,214.3465181,6.38,90,2368.75,0,1,125833
22,2012-01-13,39.0,3.523,2325.12,19455.8,6.06,520.21,5824.45,140.7048214,7.5,60,404.8,0,1,119557
30,2011-08-12,92.32,3.638,0.0,0.0,0.0,0.0,0.0,215.2593211,7.85,97,10338.58,0,2,42988
8,2012-08-03,85.06,3.417,12755.02,88.2,17.83,4783.44,4865.74,225.5127949,5.4,5,11455.66,0,0,155078
14,2012-02-03,42.96,3.617,78124.5,4232.19,788.56,46081.94,14550.73,189.6122277,8.42,60,553.8,0,0,200898
3,2012-03-30,69.36,3.845,825.1,99.83,1.25,113.25,388.39,224.8651254,6.83,14,4719.91,0,1,37392
15,2010-02-12,22.0,2.94,0.0,0.0,0.0,0.0,0.0,131.5866129,8.35,87,8298.31,1,1,123737
14,2010-07-09,82.45,2.793,0.0,0.0,0.0,0.0,0.0,182.2569603,8.74,83,15795.3,0,0,200898
21,2012-01-06,48.1,3.157,2211.62,28369.34,7.74,753.62,3371.85,219.355063,7.06,24,4628.94,0,1,140167
43,2011-08-12,86.64,3.638,0.0,0.0,0.0,0.0,0.0,207.4330369,10.64,94,52799.99,0,2,41062
19,2011-03-18,40.32,3.796,0.0,0.0,0.0,0.0,0.0,133.8492258,7.77,3,10310.14,0,0,203819
19,2010-03-26,39.07,2.963,0.0,0.0,0.0,0.0,0.0,131.863129,8.35,80,20664.01,0,0,203819
5,2010-09-17,82.28,2.582,0.0,0.0,0.0,0.0,0.0,212.0769346,6.5,34,2324.34,0,1,34875
31,2011-11-18,61.9,3.308,6756.03,591.76,71.38,462.18,12533.58,217.8670218,7.44,29,4647.28,0,0,203750
32,2010-04-16,53.49,2.765,0.0,0.0,0.0,0.0,0.0,189.6628845,8.96,5,11811.52,0,0,203007
13,2010-05-14,50.15,2.962,0.0,0.0,0.0,0.0,0.0,126.2085484,8.11,93,45842.78,0,0,219622
27,2012-02-17,37.24,3.874,14655.15,10670.84,162.82,11286.99,1595.8,141.2140357,8.01,74,26830.8,0,0,204184
15,2012-03-16,47.42,4.021,3518.76,104.88,2.98,797.26,1364.77,137.5843871,7.94,80,31.32,0,1,123737
7,2010-08-06,61.7,2.69,0.0,0.0,0.0,0.0,0.0,190.0990028,9.02,55,5208.66,0,1,70713
44,2011-04-29,43.85,3.683,0.0,0.0,0.0,0.0,0.0,128.9998667,6.91,10,151.89,0,2,39910
29,2011-12-02,49.11,3.501,2167.06,0.0,1457.99,820.49,6387.74,136.4909333,9.36,40,28707.89,0,1,93638
37,2011-04-01,67.31,3.524,0.0,0.0,0.0,0.0,0.0,213.5776701,8.3,9,102.55,0,2,39910
37,2010-04-09,68.54,2.77,0.0,0.0,0.0,0.0,0.0,209.400638,8.46,56,746.82,0,2,39910
10,2011-04-29,73.38,4.151,0.0,0.0,0.0,0.0,0.0,128.9998667,8.49,98,5.99,0,1,126512
35,2010-11-26,46.67,3.039,0.0,0.0,0.0,0.0,0.0,136.6895714,8.76,59,2173.15,1,1,103681
32,2010-03-05,37.72,2.62,0.0,0.0,0.0,0.0,0.0,189.6695049,9.01,17,12420.88,0,0,203007
17,2012-04-20,47.69,3.845,2570.29,1288.35,2.1,341.52,2157.85,131.1173333,6.24,72,83212.58,0,1,93188
10,2010-09-17,85.52,3.028,0.0,0.0,0.0,0.0,0.0,126.1454667,9.2,60,440.0,0,1,126512
34,2010-03-05,42.65,2.654,0.0,0.0,0.0,0.0,0.0,126.5782857,9.52,83,3753.19,0,0,158114
9,2010-07-16,82.93,2.623,0.0,0.0,0.0,0.0,0.0,214.6474453,6.44,40,26888.51,0,1,125833
28,2011-03-25,54.4,3.909,0.0,0.0,0.0,0.0,0.0,128.6160645,14.02,5,28743.21,0,0,206302
17,2011-05-27,51.04,3.778,0.0,0.0,0.0,0.0,0.0,129.0623548,6.77,14,12999.82,0,1,93188
28,2010-11-26,47.66,3.162,0.0,0.0,0.0,0.0,0.0,126.6692667,14.31,96,29621.67,1,0,206302
13,2011-06-24,66.38,3.668,0.0,0.0,0.0,0.0,0.0,129.0663,7.19,2,71861.41,0,0,219622
22,2012-09-21,63.38,4.056,7150.28,106.01,19.0,1217.3,7556.34,142.6798167,7.75,72,58203.35,0,1,119557
12,2010-02-26,50.23,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,13.98,22,13558.87,0,1,112238
44,2010-10-22,56.89,2.849,0.0,0.0,0.0,0.0,0.0,126.3815484,7.61,16,601.54,0,2,39910
28,2011-07-01,89.85,3.842,0.0,0.0,0.0,0.0,0.0,129.0894,13.5,94,40328.8,0,0,206302
29,2010-11-05,44.34,2.938,0.0,0.0,0.0,0.0,0.0,132.9245806,10.52,8,22864.17,0,1,93638
38,2010-05-07,70.15,3.127,0.0,0.0,0.0,0.0,0.0,126.2898,14.1,11,847.07,0,2,39690
7,2010-10-15,35.86,2.762,0.0,0.0,0.0,0.0,0.0,190.8623087,9.14,85,1868.1,0,1,70713
44,2010-11-05,49.96,2.831,0.0,0.0,0.0,0.0,0.0,126.4912903,7.61,98,3534.51,0,2,39910
5,2011-02-04,41.67,2.989,0.0,0.0,0.0,0.0,0.0,213.1229755,6.63,9,5224.41,0,1,34875
17,2012-01-13,20.28,3.056,1552.86,3911.73,0.52,542.24,1709.97,130.244,6.4,60,431.2,0,1,93188
35,2011-07-15,77.83,3.76,0.0,0.0,0.0,0.0,0.0,139.7006325,8.68,27,1232.82,0,1,103681
10,2012-03-02,57.62,3.882,22685.06,152.91,48.76,5831.75,2808.95,130.6457931,7.55,95,71689.42,0,1,126512
8,2011-02-18,50.64,3.045,0.0,0.0,0.0,0.0,0.0,216.6310383,6.26,11,16965.49,0,0,155078
12,2010-05-21,76.2,3.12,0.0,0.0,0.0,0.0,0.0,126.1843871,14.1,46,30687.71,0,1,112238
16,2011-08-19,68.83,3.499,0.0,0.0,0.0,0.0,0.0,194.2500634,6.34,9,36206.18,0,1,57197
25,2011-06-17,63.58,3.842,0.0,0.0,0.0,0.0,0.0,208.1265604,7.29,40,40390.69,0,1,128107
33,2011-03-18,72.72,3.892,0.0,0.0,0.0,0.0,0.0,128.5121935,8.95,74,343.49,0,0,39690
44,2012-04-20,50.24,3.845,58.34,0.73,7.7,0.0,402.9,131.1173333,5.62,83,1063.28,0,2,39910
5,2011-05-13,77.38,3.899,0.0,0.0,0.0,0.0,0.0,216.5343611,6.49,58,1220.0,0,1,34875
25,2010-12-24,22.94,3.141,0.0,0.0,0.0,0.0,0.0,204.6376731,7.48,56,2183.06,0,1,128107
1,2010-08-13,87.0,2.692,0.0,0.0,0.0,0.0,0.0,211.6394211,7.79,51,5.56,0,0,151315
2,2010-07-23,87.66,2.608,0.0,0.0,0.0,0.0,0.0,210.8921319,8.1,55,11206.55,0,0,202307
3,2012-10-19,73.44,3.594,629.25,0.0,7.5,75.11,3010.32,226.9688442,6.03,56,547.24,0,1,37392
36,2011-04-01,67.31,3.529,0.0,0.0,0.0,0.0,0.0,213.5776701,8.3,60,140.8,0,0,39910
22,2012-03-16,46.06,3.867,8463.01,51.31,11.36,3719.23,4895.18,141.55478,7.5,4,29519.61,0,1,119557
34,2011-03-04,46.21,3.305,0.0,0.0,0.0,0.0,0.0,128.26475,10.4,99,260.0,0,0,158114
13,2012-04-13,51.7,3.833,7419.44,19610.52,54.65,3021.51,3374.9,131.108,5.97,95,133299.8,0,0,219622
29,2011-08-26,72.22,3.796,0.0,0.0,0.0,0.0,0.0,136.2136129,9.86,30,3256.28,0,1,93638
2,2011-08-12,91.58,3.638,0.0,0.0,0.0,0.0,0.0,215.2593211,7.85,80,26188.05,0,0,202307
28,2010-09-24,81.77,2.939,0.0,0.0,0.0,0.0,0.0,126.1900333,14.18,2,57723.24,0,0,206302
31,2011-03-04,59.52,3.288,0.0,0.0,0.0,0.0,0.0,213.4775305,8.03,30,3782.02,0,0,203750
4,2012-08-03,83.86,3.374,29127.2,42.27,58.34,22663.73,10925.99,130.737871,4.08,21,7179.84,0,0,205863
8,2012-08-03,85.06,3.417,12755.02,88.2,17.83,4783.44,4865.74,225.5127949,5.4,34,6336.48,0,0,155078
8,2011-09-09,69.01,3.546,0.0,0.0,0.0,0.0,0.0,219.2604355,6.43,90,41405.64,1,0,155078
16,2010-02-05,19.79,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,7.04,3,8278.26,0,1,57197
1,2011-04-22,72.99,3.807,0.0,0.0,0.0,0.0,0.0,215.4599053,7.68,3,8468.72,0,0,151315
20,2011-10-21,53.69,3.57,0.0,0.0,0.0,0.0,0.0,210.5473252,7.08,44,9321.17,0,0,203742
40,2011-05-06,50.81,4.078,0.0,0.0,0.0,0.0,0.0,134.5143667,4.78,11,9761.32,0,0,155083
2,2011-10-21,64.53,3.353,0.0,0.0,0.0,0.0,0.0,217.1650042,7.44,94,65152.25,0,0,202307
18,2011-01-07,30.1,3.193,0.0,0.0,0.0,0.0,0.0,132.8823226,9.13,1,11258.34,0,1,120653
8,2010-11-19,43.86,2.771,0.0,0.0,0.0,0.0,0.0,215.2538714,6.43,92,68355.89,0,0,155078
38,2011-09-02,93.66,3.798,0.0,0.0,0.0,0.0,0.0,129.3259355,13.5,59,52.95,0,2,39690
35,2010-04-09,62.62,2.869,0.0,0.0,0.0,0.0,0.0,135.7856359,9.05,56,3157.0,0,1,103681
15,2011-08-05,73.63,4.02,0.0,0.0,0.0,0.0,0.0,136.0540323,7.81,31,2460.68,0,1,123737
23,2011-05-06,50.07,4.078,0.0,0.0,0.0,0.0,0.0,134.5143667,4.78,4,25334.87,0,1,114533
11,2010-08-06,86.54,2.627,0.0,0.0,0.0,0.0,0.0,214.8341952,7.35,72,67912.79,0,0,207499
18,2011-01-28,14.84,3.243,0.0,0.0,0.0,0.0,0.0,133.1059677,9.13,12,2039.05,0,1,120653
5,2012-06-01,79.72,3.501,2840.78,0.0,41.58,393.41,2114.0,222.3343277,5.8,12,3365.91,0,1,34875
3,2011-04-08,72.55,3.622,0.0,0.0,0.0,0.0,0.0,218.4553663,7.57,33,2920.21,0,1,37392
13,2012-01-06,33.8,3.08,6809.96,37106.52,179.77,1922.55,7481.58,130.1575161,6.1,98,13227.3,0,0,219622
14,2012-04-06,49.73,3.996,8376.85,0.0,81.19,3578.4,4857.19,190.6851712,8.57,93,72600.35,0,0,200898
13,2010-07-02,78.82,2.814,0.0,0.0,0.0,0.0,0.0,126.1392,7.95,60,1152.8,0,0,219622
26,2010-07-09,71.08,2.806,0.0,0.0,0.0,0.0,0.0,132.5461333,8.45,42,3515.64,0,0,152513
24,2010-11-12,41.76,3.065,0.0,0.0,0.0,0.0,0.0,132.9783226,8.28,58,3195.0,0,0,203819
19,2010-07-09,78.22,2.94,0.0,0.0,0.0,0.0,0.0,132.5461333,8.1,14,15572.04,0,0,203819
21,2010-07-16,85.61,2.623,0.0,0.0,0.0,0.0,0.0,210.7577954,8.1,6,5323.49,0,1,140167
1,2011-04-29,72.03,3.81,0.0,0.0,0.0,0.0,0.0,215.6279544,7.68,11,24975.38,0,0,151315
19,2011-08-26,69.34,3.906,0.0,0.0,0.0,0.0,0.0,136.2136129,7.81,83,3183.04,0,0,203819
8,2012-06-29,84.47,3.286,8467.23,199.75,0.0,492.34,5529.08,225.3982943,5.68,79,20585.11,0,0,155078
33,2011-07-08,96.44,3.793,0.0,0.0,0.0,0.0,0.0,129.1125,8.44,4,5710.09,0,0,39690
28,2011-04-29,68.27,4.151,0.0,0.0,0.0,0.0,0.0,128.9998667,13.74,17,8302.19,0,0,206302
10,2012-03-23,56.54,4.288,4034.35,3.1,4.08,480.89,2194.51,130.8966452,7.55,19,3230.39,0,1,126512
30,2012-03-30,67.87,3.845,380.37,0.5,0.0,0.0,1080.75,220.9991248,7.06,93,21864.19,0,2,42988
24,2012-01-20,25.73,3.705,2809.05,7169.67,171.45,730.64,3663.25,136.8564194,8.66,13,25938.46,0,0,203819
24,2011-10-14,60.21,3.744,0.0,0.0,0.0,0.0,0.0,136.5150968,8.45,21,6055.32,0,0,203819
40,2010-09-10,62.75,2.717,0.0,0.0,0.0,0.0,0.0,132.7564516,5.33,30,2754.0,1,0,155083
22,2010-03-12,43.43,2.805,0.0,0.0,0.0,0.0,0.0,135.6270013,8.28,22,12733.9,0,1,119557
19,2012-06-01,68.18,3.915,8247.79,36.2,100.6,2171.48,4578.85,138.1138065,8.15,40,54249.38,0,0,203819
17,2011-07-15,67.93,3.553,0.0,0.0,0.0,0.0,0.0,129.1338387,6.75,42,4569.54,0,1,93188
18,2010-04-16,50.26,2.885,0.0,0.0,0.0,0.0,0.0,131.9809,9.27,12,5579.64,0,1,120653
22,2010-05-21,59.99,2.961,0.0,0.0,0.0,0.0,0.0,136.0796521,8.35,24,7407.78,0,1,119557
22,2011-11-11,47.8,3.57,12691.27,16756.86,435.92,3159.94,6275.41,140.4111613,7.71,31,2838.36,0,1,119557
26,2010-05-07,54.72,2.981,0.0,0.0,0.0,0.0,0.0,132.1062,8.51,44,3801.65,0,0,152513
24,2012-06-01,71.79,3.915,5320.71,42.2,204.43,883.54,2374.74,138.1138065,8.98,9,38285.41,0,0,203819
1,2010-06-25,84.34,2.653,0.0,0.0,0.0,0.0,0.0,211.3386526,7.81,28,513.53,0,0,151315
13,2012-06-15,65.97,3.756,8819.8,416.5,0.22,3496.08,6331.52,130.8295333,5.97,91,87641.3,0,0,219622
26,2012-04-13,36.9,4.025,3766.78,2941.14,24.34,1103.96,2536.7,137.868,7.49,41,1138.0,0,0,152513
5,2010-06-11,80.7,2.668,0.0,0.0,0.0,0.0,0.0,212.0142605,6.47,79,4934.99,0,1,34875
34,2011-05-20,61.47,3.881,0.0,0.0,0.0,0.0,0.0,129.0756774,10.58,1,15654.87,0,0,158114
18,2010-06-04,70.28,2.857,0.0,0.0,0.0,0.0,0.0,132.3648387,9.27,80,262.38,0,1,120653
13,2012-08-17,79.4,3.545,5063.08,6.76,40.96,2344.61,5594.85,130.7909677,5.77,4,47337.25,0,0,219622
41,2011-11-04,35.04,3.527,0.0,0.0,0.0,0.0,0.0,195.4847959,6.76,95,83229.45,0,0,196321
4,2010-02-05,43.76,2.598,0.0,0.0,0.0,0.0,0.0,126.4420645,8.62,72,138901.12,0,0,205863
18,2011-07-08,73.12,3.784,0.0,0.0,0.0,0.0,0.0,135.6283333,8.89,60,202.4,0,1,120653
2,2012-01-27,50.5,3.29,1920.15,1507.56,86.09,43.4,2613.53,219.7188636,7.06,37,4172.6,0,0,202307
29,2010-12-03,39.42,3.065,0.0,0.0,0.0,0.0,0.0,132.7566667,10.52,85,2304.24,0,1,93638
21,2012-10-26,70.5,3.506,7477.8,24.95,206.5,754.69,2667.13,223.0783366,6.17,14,12839.17,0,1,140167
3,2011-11-25,68.0,3.236,41.74,10.47,37612.74,0.0,135.16,221.9011185,7.2,18,12534.3,1,1,37392
26,2011-12-16,28.24,3.445,2698.03,0.0,494.72,533.84,2670.1,136.5335161,7.6,96,17793.98,0,0,152513
15,2010-08-20,71.1,2.913,0.0,0.0,0.0,0.0,0.0,132.6616129,8.1,4,14624.9,0,1,123737
40,2012-07-13,67.48,3.561,6891.02,80.4,23.66,1464.52,2677.19,138.263,4.16,31,855.3,0,0,155083
5,2011-04-08,69.64,3.622,0.0,0.0,0.0,0.0,0.0,215.6407939,6.49,21,1493.17,0,1,34875
14,2010-07-16,77.84,2.783,0.0,0.0,0.0,0.0,0.0,182.2604411,8.74,2,92554.66,0,0,200898
22,2010-05-07,63.81,2.981,0.0,0.0,0.0,0.0,0.0,135.962,8.35,80,929.06,0,1,119557
22,2012-08-17,74.92,3.84,5160.04,91.43,0.0,2273.84,2354.36,142.2157385,7.75,21,5014.44,0,1,119557
3,2010-02-26,52.05,2.561,0.0,0.0,0.0,0.0,0.0,214.6475127,7.37,12,1934.68,0,1,37392
23,2011-05-27,63.27,4.034,0.0,0.0,0.0,0.0,0.0,134.7677742,4.78,29,10220.9,0,1,114533
11,2010-11-05,64.41,2.689,0.0,0.0,0.0,0.0,0.0,215.2765472,7.56,16,4674.3,0,0,207499
15,2011-05-20,57.19,4.202,0.0,0.0,0.0,0.0,0.0,134.6803871,7.66,93,420.62,0,1,123737
45,2010-02-26,34.89,2.754,0.0,0.0,0.0,0.0,0.0,182.0774691,8.99,79,17744.56,0,1,118221
40,2011-05-20,56.38,4.101,0.0,0.0,0.0,0.0,0.0,134.6803871,4.78,30,2645.96,0,0,155083
41,2010-05-28,56.97,2.737,0.0,0.0,0.0,0.0,0.0,189.4452425,7.36,31,1245.92,0,0,196321
20,2011-02-04,28.58,3.231,0.0,0.0,0.0,0.0,0.0,205.7329407,7.34,13,62360.17,0,0,203742
16,2010-08-27,65.66,2.731,0.0,0.0,0.0,0.0,0.0,190.3284922,6.87,4,17582.74,0,1,57197
8,2011-04-22,65.11,3.807,0.0,0.0,0.0,0.0,0.0,218.8986857,6.3,12,8050.84,0,0,155078
45,2010-08-06,77.17,2.784,0.0,0.0,0.0,0.0,0.0,182.5320862,8.74,8,33253.96,0,1,118221
41,2011-04-29,39.81,3.663,0.0,0.0,0.0,0.0,0.0,192.6243322,6.93,5,22858.47,0,0,196321
17,2010-03-05,31.58,2.681,0.0,0.0,0.0,0.0,0.0,126.5782857,6.55,29,2458.5,0,1,93188
27,2011-01-28,23.64,3.402,0.0,0.0,0.0,0.0,0.0,136.9706544,7.83,95,102390.18,0,0,204184
34,2011-09-09,70.05,3.554,0.0,0.0,0.0,0.0,0.0,129.3686129,10.64,23,11861.03,1,0,158114
21,2011-10-14,69.79,3.274,0.0,0.0,0.0,0.0,0.0,217.0048261,7.44,60,96.8,0,1,140167
18,2012-04-27,50.43,4.023,2255.05,5.83,23.93,17.92,1445.88,137.9781333,8.3,87,17518.99,0,1,120653
1,2012-06-01,77.95,3.501,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.14,26,5319.66,0,0,151315
35,2012-07-06,82.08,3.475,7808.9,7.0,47.5,6948.28,6443.45,142.2234298,8.84,55,6896.62,0,1,103681
14,2011-09-02,70.63,3.703,0.0,0.0,0.0,0.0,0.0,186.6189274,8.63,67,8423.15,0,0,200898
18,2010-02-26,35.42,2.753,0.0,0.0,0.0,0.0,0.0,131.686,9.2,44,5917.09,0,1,120653
